4,stone,7,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
H,.,.,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,H,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
H,.,.,,,.,.,.,,.,.,.,,,.,.,.,,.,.,.,,,H,.,.
.,.,.,,,t,.,.,,t,.,.,,,t,.,.,,t,.,.,,,.,.,.
H,.,.,,,,,,,,,,,,,,,,,,,,,H,.,.
.,.,.,,,,.,.,.,,.,.,.,.,.,.,,.,.,.,,,,.,.,.
H,.,.,,,,t,.,.,,b,.,%P;;12;11;castle1,%P;;13;11;castle1,.,.,,t,.,.,,,,H,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
H,.,.,,,,,,,,,,,,,,,,,,,,,H,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
H,.,.,,,,,,,,,,,,,,,,,,,,,H,.,.
.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.
H,.,.,H,.,.,H,.,.,H,.,.,%P;;12;1;citycenter,%P;;13;1;citycenter,H,.,.,H,.,.,H,.,.,H,.,.
