0,wood,0,,,,,,,,,,,,,,,,,,,,,,,
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,r,r,r,r,r,r,r,r,r,r,r,r,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,,,,,f,.,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,%V,,,,,,,,%V,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,%A;c,.,.,%A;c,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,%A;c,e,.,%A;c,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,,,,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,,,,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,%P;;12;11;village3,%P;;12;11;village3,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
