3,grass,4,,,,,,,,,,,,,,,,,,,,,,,
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,%P;;1;12;trail6,%P;;2;12;trail6,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,,,,,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,,,,T,T,T
T,T,T,,,,,,T,T,,,,,,,,,,,,,T,T,T,T
T,T,T,,T,,,,T,,,,,,,T,,,,,T,T,T,T,T,T
T,T,,,T,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T
T,T,,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,,,T,T,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,,,T,T,,,,T,,,,T,,,,,T,T,T,T,T,T,T,T
T,T,T,T,T,T,,,,T,,,,,,,,,,T,T,T,T,T,T,T
%P;;24;6;crossroads,,,,,,,,,T,,T,T,T,T,T,,,,,,T,T,T,T,T
%P;;24;7;crossroads,,,,,,,,,,,T,T,T,T,T,T,,,,,,,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,,,,,,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,%P;;2;1;trail8,%P;;3;1;trail8,T,T,T,T,T,T
