4,stonebricks,7,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Q,.,.,Q,.,.,Q,.,.,Q,.,.,Q,.,.,Q,.,.,Q,.,.,Q,.,.,Q,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
Q,.,.,,,,,,,,,,,,,,,,,,,,,Q,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
Q,.,.,,,,,,,,,,,,,,,,,,,,,Q,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
Q,.,.,,,,,,,,,,,,,,,,,,,,,Q,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
Q,.,.,,,,,,,,,,,,,,,,,,,,,Q,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
Q,.,.,,,,,,,,,,,,,,,,,,,,,Q,.,.
.,.,.,.,.,.,.,.,.,.,.,.,,,.,.,.,.,.,.,.,.,.,.,.,.
Q,.,.,Q,.,.,Q,.,.,Q,.,.,%P;;12;1;citycenter,%P;;13;1;citycenter,Q,.,.,Q,.,.,Q,.,.,Q,.,.
