0,wood,0,,,,,,,,,,,,,,,,,,,,,,,
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,r,r,r,r,r,r,r,r,r,r,r,r,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,,,,,f,.,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,%V,,,,,,,,%V,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,%A;c,.,.,%A;c,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,%A;c,e,.,%A;c,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,,,,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,,,,,,,,,,,,,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,%P;;13;7;village3,%P;;13;7;village3,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
