2,gravel,4,,,,,,,,,,,,,,,,,,,,,,,
.,.,K,K,K,.,K,K,.,.,K,K,K,.,.,K,.,K,T,K,.,K,K,.,K,.
T,.,T,.,.,T,.,.,K,T,K,.,T,.,K,T,K,T,K,T,T,.,.,K,.,.
.,.,K,.,K,.,T,.,K,T,T,.,K,T,K,.,K,,K,.,K,K,.,T,.,K
.,T,K,K,,K,K,K,,K,,T,,,,T,,,,K,.,.,K,K,T,K
K,T,K,K,,,,K,,,,,,K,,,,K,,,K,T,K,.,T,.
.,.,T,,,,,,,,,,,K,,,,,,K,K,.,.,K,K,K
.,T,K,K,,,,,K,,,T,,,,,,,,,K,.,K,.,T,.
.,.,T,.,,,,K,.,T,,,K,K,,K,K,,,,,K,T,K,K,K
K,K,,K,K,,K,.,.,K,,K,T,.,K,T,T,K,K,,,,,T,.,K
%P;;24;9;mountain2,,,,K,,,K,T,T,,,K,K,K,,K,.,.,K,,,,K,T,.
%P;;24;10;mountain2,,,T,,,,K,T,,,,K,,,,K,K,K,,,,,K,.,T
K,,,,,K,,,,K,,,,,K,K,.,T,K,T,,,,T,T,.
.,T,,,K,K,K,T,,,,K,K,,T,.,.,.,.,T,,,,,K,T
.,.,K,K,.,T,T,.,K,K,K,.,K,K,.,K,K,T,K,.,T,%P;;2;1;village2,%P;;3;1;village2,T,T,T
